    0.1000e+013  0.2771e-04   0.6928e-17
    0.1111e+012  0.8313e-04   0.1871e-15
    0.1000e+11   0.2771e-03   0.6928e-14
    0.1111e+10   0.8513e-03   0.1870e-12
    0.1000e+09   0.2770e-02   0.6926e-11
    0.1111e+08   0.8306e-02   0.1869e-09
    0.1000e+07   0.2763e-01   0.6906e-08
    0.1111e+06   0.8236e-01   0.1853e-06
    0.4000e+05   0.1364e+00   0.8525e-06
    0.2041e+05   0.1898       0.2325e-05
    0.1000e+05   0.2686       0.6714e-05
    0.4445e+04   0.3966       0.2231e-04
    0.2500e+04   0.52076      0.5206e-04
    0.1111e+04   0.7572       0.1703e-03
    0.4002e+03   0.1187e+01   0.7411e-03
    0.2043e+03   0.1563e+01   0.1912e-02
    0.1002e+03   0.2042e+01   0.5087e-02
    0.4469e+02   0.2645e+01   0.1477e-01
    0.2525e+02   0.3059e+01   0.3019e-01
    0.1625e+02   0.3331e+01   0.5100e-01
    0.1136e+02   0.3497e+01   0.7642e-01
    0.6500e+01   0.3612e+01   0.1373
    0.4250e+01   0.3553e+01   0.2055
    0.3028e+01   0.3408e+01   0.2752
    0.2291e+01   0.3225e+01   0.3243
    0.1812e+01   0.3031e+01   0.4045
    0.1485e+01   0.2842e+01   0.4607
    0.1250e+01   0.2664e+01   0.5106
    0.9444       0.2354e+01   0.5923
    0.6944       0.2000e+01   0.6784
    0.5000       0.1626e+01   0.7587
    0.3611       0.1279e+01   0.8192
    0.2900       0.1067e+01   0.8459
    0.2704       0.1003e+01   0.8518
    0.2600       0.9686       0.8545
    0.2541       0.9498       0.8558
    0.2525       0.9431       0.8562
    0.2511       0.9384       0.8565
    0.2501       0.9349       0.8567
    0.2500       0.9346       0.8567
