    1.000e+08     6.926e-04
    1.111e+07     2.076e-03
    1.000e+06     6.906e-03
    1.111e+05     2.059e-02
    4.000e+04     3.410e-02
    0.2041e+05    0.4745e-01
    0.1000e+05    0.6715e-01
    0.4445e+04    0.9917e-01
    0.2301e+04    0.1302
    0.1112e+04    0.1894
    0.4010e+03    0.2971
    0.2051e+03    0.3918
    0.1010e+03    0.5129
    0.4544e+02    0.6687
    0.2600e+02    0.7800
    0.1700e+02    0.8585
    0.1211e+02    0.9129
    0.7250e+01    0.9729
    0.5000e+01    0.9939
    0.3778e+01    0.9948
    0.3041e+01    0.9856
    0.2562e+01    0.9721
    0.2235e+01    0.9571
    0.2000e+01    0.9423
    0.1694e+01    0.9157
    0.1444e+01    0.8850
    0.1250e+01    0.8531
    0.1111e+01    0.8246
    0.1040e+01    0.8076
    0.1020e+01    0.8026
    0.1010e+01    0.7999
    0.1004e+01    0.7985
    0.1002e+01    0.7980
    0.1001e+01    0.7976
    0.1000e+01    0.7973
